Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","MARYLAND COALITION AGAINST SEXUAL ASSAULT, INC. (MCASA)","MARYLAND COALITION AGAINST SEXUAL ASSAULT, INC. (MCASA)",20907,2022,100000,"THE MARYLAND COALITION AGAINST SEXUAL ASSAULT’S (MCASA) SEXUAL ASSAULT RAPE CRISIS PROGRAM PROVIDES TECHNICAL ASSISTANCE AND SUPPORT THE COMPREHENSIVE SEXUAL ASSAULT/RAPE CRISIS CENTERS THROUGHOUT THE STATE OF MARYLAND. SUPPORT AND TECHNICAL ASSISTANCE INCLUDES UPDATING AND MAINTAINING PERFORMANCE STANDARDS, UPDATING AND DISTRIBUTING MATERIALS FOR USE BY RAPE CRISIS CENTERS OR OTHERS WORKING WITH VICTIMS OF SEX CRIMES, PROVIDING INFORMATION AND EDUCATION FOR THE GENERAL PUBLIC REGARDING THE PREVENTION AND TREATMENT OF RAPE AND SEXUAL OFFENSES, AND UPDATING TRAINING TO HELP RAPE CRISIS CENTERS AND THE SEXUAL ASSAULT LEGAL INSTITUTE PROVIDE SERVICES TO VICTIMS. PROGRAM FUNDS PROVIDE PERSONNEL EXPENSES, TRAVEL, OPERATING EXPENSES, CONTRACTUAL SERVICES AND OTHER EXPENSES.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS",UNIVERSITY OF MARYLAND PRINCE GEORGE'S HOSPITAL CENTER (DIMENSIONS HEALTH CORPORATION),UNIVERSITY OF MARYLAND PRINCE GEORGE'S HOSPITAL CENTER (DIMENSIONS HEALTH CORPORATION),20774,2022,107806,"THE UNIVERSITY OF MARYLAND PRINCE GEORGE'S HOSPITAL CENTER'S (DIMENSIONS HEALTH CORPORATION) SEXUAL ASSAULT RAPE CRISIS PROGRAM ASSISTS IN DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SEXUAL ASSAULT VICTIMS IN PRINCE GEORGE'S COUNTY, MARYLAND. SERVICES INCLUDE A 24- HOUR HOTLINE WHICH INCLUDES CRISIS INTERVENTION, ACCOMPANIMENT FOR MEDICAL AND FORENSIC EXAMS, ADVOCACY SUPPORT, AND INFORMATION AND REFERRALS DESIGNED SPECIFICALLY TO RESPOND TO VICTIMS OF SEXUAL ASSAULT, SEXUAL ABUSE, AND HUMAN SEX TRAFFICKING. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT, TRAVEL AND OTHER EXPENSES.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSARC SEXUAL ASSAULT RAPE CRISIS","HOPEWORKS OF HOWARD COUNTY, INC.","HOPEWORKS OF HOWARD COUNTY, INC.",21046,2022,102596,"HOPEWORKS OF HOWARD COUNTY’S THERAPEUTIC COUNSELING SERVICES FOR VICTIMS OF SEXUAL ASSAULT PROJECT PROVIDES ASSISTANCE TO VICTIMS OF RAPE AND OTHER SEXUAL OFFENSES IN HOWARD COUNTY, MARYLAND. THE PROGRAM PROVIDES A WIDE RANGE OF THERAPEUTIC COUNSELING SERVICES THAT REFLECT THE INDIVIDUAL RECOVERY NEEDS OF SEXUAL ASSAULT VICTIMS AND WHICH ALLOW THOSE VICTIMS TO RETURN TO HEALTHIER LEVELS OF FUNCTIONING. PROGRAM FUNDS SUPPORT PERSONNEL.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","THE BALTIMORE CHILD ABUSE CENTER, INC.","THE BALTIMORE CHILD ABUSE CENTER, INC.",21218,2022,55294,"THE BALTIMORE CHILD ABUSE CENTER, INC.’S BALTIMORE LINKS ASSISTS IN DEVELOPING AND IMPLEMENTING TRAUMA-INFORMED STRATEGIES SPECIFICALLY INTENDED TO PROVIDE ASSISTANCE TO SURVIVORS OF HOMICIDE VICTIMS IN THE STATE OF MARYLAND. THE PROGRAM PROVIDES CHILD SURVIVORS OF HOMICIDE WITH IMMEDIATE RESOURCES TO PROMOTE FAMILY STABILIZATION AND CASE MANAGEMENT SERVICES TO SUPPORT THEM IN OBTAINING JUSTICE AND HEALING, AND PROVIDES OUTREACH TO VICTIMS, VICTIM SERVICE PROVIDERS AND THE COMMUNITY THROUGH AWARENESS AND TRAINING. PROGRAM FUNDS PROVIDE PERSONNEL SUPPORT AND CLIENT FINANCIAL ASSISTANCE.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","PRO BONO COUNSELING PROJECT, INC.","PRO BONO COUNSELING PROJECT, INC.",21215,2022,73852,"PRO BONO COUNSELING PROJECT, INC.’S EXPANDING ACCESS TO COUNSELING FOR SURVIVORS OF HOMICIDE PROGRAM ASSISTS IN REDUCING EXISTING GAPS IN SERVICES AND FOSTERS COLLABORATION AND COOPERATION AMONG PARTNER AGENCIES AND STAKEHOLDERS. THE PROGRAM MATCHES SURVIVORS OF HOMICIDE TO LICENSED MENTAL HEALTH PROVIDERS WHO VOLUNTEER THEIR TIME. IN ADDITION TO COUNSELING SERVICES, CLIENTS ARE LINKED TO APPROPRIATE REFERRALS AND OTHER RESOURCES. PROGRAM FUNDS SUPPORT PERSONNEL, OPERATING EXPENSES, TRAVEL, CONTRACTUAL SERVICES AND OTHER EXPENSES.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT",YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF THE UNITED STATES OF AMERICA (YWCA) OF ANNAPOLIS AND ANNE ARUNDEL COUNTY,YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF THE UNITED STATES OF AMERICA (YWCA) OF ANNAPOLIS AND ANNE ARUNDEL COUNTY,21012,2022,121515,"THE BEHAVIORAL HEALTH AND CRISIS INTERVENTION FOR SURVIVORS OF HOMICIDE PROGRAM HELPS TO PROVIDE DIRECT IN-PERSON AND TELE-THERAPY COUNSELING SESSIONS, 24-HOUR CONNECTION TO RESOURCES AND REFERRALS, AS WELL AS COMMUNITY OUTREACH/AWARENESS OF SERVICES TO SURVIVORS OF HOMICIDE IN ANNE ARUNDEL COUNTY AND THROUGHOUT MARYLAND. THE PROGRAM FUNDS WILL PROVIDE PERSONNEL, TELE-THERAPY AND ELECTRONIC DATABASE PLATFORMS AND CLINICAL TRAINING.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","MARYLAND CRIME VICTIMS' RESOURCE CENTER, INC.","MARYLAND CRIME VICTIMS' RESOURCE CENTER, INC.",20774,2022,84050,"THE MARYLAND CRIME VICTIMS’ RESOURCE CENTER, INC. CONTINUED REPRESENTATION AND ASSISTANCE FOR HOMICIDE SURVIVOR FAMILIES PROGRAM HELPS TO ASSIST FAMILY MEMBERS OF HOMICIDE VICTIMS AND CONTINUES TO EXPAND A PILOT PROGRAM ASSISTING COLD CASE HOMICIDE FAMILIES. MCVRC PROVIDES A TOLL-FREE CONTACT LINE AND 24-HOUR ON-LINE INTAKE ACCESS FOR SURVIVORS. THIS GRANT WOULD EXPAND SERVICES INCLUDING COLD CASE INVESTIGATIONS AND INDIVIDUAL SUPPORT ACCESSIBILITY IN THE STATE. MARYLAND INDIVIDUALS WILL BE APPRISED OF THE SERVICES AVAILABLE AND THEIR ABILITY TO RECEIVE COUNSELING, LEGAL, MENTAL HEALTH, AND ADVOCACY SERVICES FOR SURVIVORS OF HOMICIDE VICTIMS. GRANT FUNDS PROVIDE PERSONNEL AND CONTRACTUAL SERVICES EXPENSES FOR NETWORK, LEGAL, MENTAL HEALTH, COLD CASE AND VICTIM SERVICES.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT",COMMUNITY ADVOCATES FOR FAMILY & YOUTH,COMMUNITY ADVOCATES FOR FAMILY & YOUTH,20791,2022,90740,"THE COMMUNITY ADVOCATES FOR FAMILY & YOUTH (CAFY) IMPROVED SUPPORT FOR SURVIVORS OF HOMICIDE VICTIMS - VICTIM SERVICES PROFESSIONALS - PRINCE GEORGE’S COUNTY (ISSOHV) PROGRAM HELPS TO ENSURE THAT HUNDREDS OF SURVIVORS HARMED BY A HOMICIDE DURING THE GRANT PERIOD ARE CONTACTED AND HAVE HELP ACCESSING VICTIM SERVICES, MENTAL HEALTH COUNSELING, LEGAL ASSISTANCE AND OTHER SERVICES IN PRINCE GEORGE’S COUNTY, MD. THE MAIN FUNCTION OF THE REQUEST IS TO CONCENTRATE STAFF AND RESOURCES TO BETTER REACH AND ASSIST FAMILIES, SPOUSES, CHILDREN AND OTHERS WHO ARE AFFECTED BY THE HOMICIDE OF A LOVED ONE WITH CASE MANAGEMENT, MENTAL HEALTH COUNSELING AND OTHER SERVICES TO ENHANCE SELF-SUFFICIENCY AS WELL AS ACHIEVE RESTORATION AND RESILIENCY. PROGRAM FUNDS PROVIDE FOR PERSONNEL.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PSOHG SURVIVORS OF HOMICIDE GRANT","ROBERTA'S HOUSE, INC.","ROBERTA'S HOUSE, INC.",21202,2022,74549,"ROBERTA’S HOUSE’S MULTI-SITE HOMICIDE SURVIVOR TRANSFORMATION PROJECT PROVIDES DIRECT VICTIM SERVICES IN GREATER METROPOLITAN BALTIMORE AND PRINCE GEORGE’S COUNTY. THE MULTI-SITE HOMICIDE SURVIVOR TRANSFORMATION PROJECT PROVIDES SERVICES TO SURVIVORS OF HOMICIDE VICTIMS, INCLUSIVE OF GRIEF SUPPORT AND ADVOCACY ASSISTANCE. THE PROGRAM FACILITATES HEALING AND RECOVERY FROM TRAUMATIC LOSS. PROGRAM FUNDS PROVIDE FOR PERSONNEL.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PVIPA BALTO CHESAPEAKE BAY",BALTIMORE CHESAPEAKE BAY OUTWARD BOUND CENTER INC.,BALTIMORE CHESAPEAKE BAY OUTWARD BOUND CENTER INC.,21207,2022,300000,"THE CHESAPEAKE BAY OUTWARD BOUND SCHOOL’S POLICE YOUTH CHALLENGE (PYC) PROGRAM IS FOCUSED ON CONNECTING THE BALTIMORE POLICE DEPARTMENT AND BALTIMORE YOUTH IN SAFE AND FACILITATED ENVIRONMENTS TO FOSTER TRUST. THE FY22 PYC PROGRAM WILL CREATE IN-PERSON OPPORTUNITIES FOR DEEPER AND MULTIPLE INTERACTIONS BETWEEN POLICE OFFICER TRAINEES AND SCHOOL-AGE YOUTH BY LEVERAGING OUTDOOR EXPERIENTIAL ACTIVITIES. THE PYC PROGRAM BENEFITS THE ENTIRE BALTIMORE COMMUNITY BY INCORPORATING FOUNDATIONAL TRAINING FOR ACADEMY TRAINEES ON INTERACTING WITH YOUTH AND CREATING SPACE FOR YOUTH TO ENGAGE WITH POLICE TRAINEES. PROGRAM FUNDS PROVIDE FOR PERSONNEL, OPERATING EXPENSES, TRAVEL, SERVICES AND PROGRAMMATIC MATERIALS.",GRANT,1,06/30/2022 12:00:00 AM
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PVIPB BALTIMORE CITY LEAD",BEHAVIORAL HEALTH SYSTEM BALTIMORE,BEHAVIORAL HEALTH SYSTEM BALTIMORE,21201,2022,425000,"BEHAVIORAL HEALTH SYSTEM BALTIMORE’S (BHSB) LAW ENFORCEMENT ASSISTED DIVERSION (LEAD) PROGRAM HELPS REDUCE EXISTING GAPS IN SERVICES AND FOSTER COLLABORATION AND COOPERATION AMONG PARTNER AGENCIES AND STAKEHOLDERS THROUGHOUT BALTIMORE CITY. LEAD IS A PRE-BOOKING DIVERSION PROGRAM THAT ALLOWS LAW ENFORCEMENT TO IMMEDIATELY CONNECT ELIGIBLE PARTICIPANTS, GENERALLY THOSE DIAGNOSED WITH SUBSTANCE-USE DISORDERS AND MENTAL ILLNESSES, WITH INTENSIVE CASE MANAGEMENT, DELIVERED IN A HARM REDUCTION FRAMEWORK, RATHER THAN HAVING THEM BECOME ENMESHED IN THE CRIMINAL JUSTICE SYSTEM. LEAD WILL RESULT IN DECREASED CRIMINAL JUSTICE SYSTEM UTILIZATION AND COST, BETTER PARTICIPANT OUTCOMES, AND IMPROVED RELATIONS BETWEEN LAW ENFORCEMENT AND COMMUNITY. THESE PROGRAM FUNDS WILL SUPPORT LEAD INTENSIVE CASE MANAGEMENT SERVICES THROUGH CONTRACTUAL SERVICES.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SALGHS,"HUMAN  RESOURCES 
DEVELOPMENT COMMISSION OF ALLEGANY COUNTY",HUMAN RESOURCES DEVELOPMENT COMMISSION OF ALLEGANY COUNTY,21502,2022,52422,"GROUP HOUSING, SENIOR ASSISTED LIVING",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SALGHS,"MAC, INC.","MAC, INC.",20850,2022,301951,"GROUP HOUSING, SENIOR ASSISTED LIVING",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SALGHS,"UPPER SHORE AGING, INC.","UPPER SHORE AGING, INC.",21620,2022,94049,"GROUP HOUSING, SENIOR ASSISTED LIVING",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SALGHS,WASHINGTON COUNTY COMMISSION ON AGING,WASHINGTON COUNTY COMMISSION ON AGING,21740,2022,184922,"GROUP HOUSING, SENIOR ASSISTED LIVING",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SENIOR I&A,WASHINGTON COUNTY COMMISSION ON AGING,WASHINGTON COUNTY COMMISSION ON AGING,21740,2022,57240,SENIOR INFORMATION AND ASSISTANCE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SENIOR CARE,"HUMAN  RESOURCES 
DEVELOPMENT COMMISSION OF ALLEGANY COUNTY",HUMAN RESOURCES DEVELOPMENT COMMISSION OF ALLEGANY COUNTY,21502,2022,128921,SENIOR CARE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SENIOR CARE,"MAC, INC","MAC, INC.",20850,2022,499737,SENIOR CARE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SENIOR CARE,"UPPER SHORE AGING, INC.","UPPER SHORE AGING, INC.",21620,2022,345000,SENIOR CARE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/SENIOR CARE,WASHINGTON COUNTY COMMISSION ON AGING,WASHINGTON COUNTY COMMISSION ON AGING,21740,2022,176757,SENIOR CARE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,"MAC, INC","MAC, INC.",20850,2022,94224,NUTRITION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,WASHINGTON COUNTY COMMISSION ON AGING,WASHINGTON COUNTY COMMISSION ON AGING,21740,2022,59327,NUTRITION,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,THE ASSOCIATED JEWISH COMMUNITY  FEDERATION OF BALTIMORE,THE ASSOCIATED JEWISH COMMUNITY FEDERATION OF BALTIMORE,21201,2022,81000,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,THE ASSOCIATED NNC & MILLBROOK,THE ASSOCIATED NNC & MILLBROOK,21201,2022,262000,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,JEWISH COMMUNITY SERVICES,JEWISH COMMUNITY SERVICES,21215,2022,401560,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,JEWISH SOCIAL SERVICE AGENCY COMING OF AGE,JEWISH SOCIAL SERVICE AGENCY,20850,2022,225000,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,JEWISH SOCIAL SERVICE AGENCY,JEWISH SOCIAL SERVICE AGENCY,20850,2022,360840,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/NORC GRANT,"HEBREW HOME OF GREATER WASHINGTON, ELDERSAFE PROGRAM",HEBREW HOME OF GREATER WASHINGTON,20852,2022,91089,NATURALLY OCCURRING RETIREMENT COMMUNITIES,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,NAT'L CAPITAL B'NAI B'RITH,NAT'L CAPITAL B'NAI B'RITH,21046,2022,273312,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,GOOD SAMARITAN/BELVEDERE GREEN,GOOD SAMARITAN/BEL GREEN,21239,2022,105802,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,ASSOCIATED CATHOLIC CHARITIES - INDIVIDUALIZED,ASSOCIATED CATHOLIC CHARITIES - INDIVIDUALIZED,21093,2022,419000,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,ASSOCIATED CATHOLIC CHARITIES - ABERDEEN,ASSOCIATED CATHOLIC CHARITIES - ABERDEEN,21001,2022,72000,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,GARRETT COUNTY COMMUNITY ACTION COMMITTEE,GARRETT COUNTY COMMUNITY ACTION COMMITTEE,21550,2022,85000,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,"NM CARROLL MANOR, INC","NM CARROLL MANOR, INC.",21217,2022,56026,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,STELLA MARIS/ST ELIZABETH HALL,STELLA MARIS/ST. ELIZABETH HALL,21093,2022,55380,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,DIAKON LUTHERAN SOCIAL MINISTERIES,DIAKON LUTHERAN SOCIAL MINISTRIES,17057,2022,72000,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,"SPRINGVALE TERRACE, INC.","SPRINGVALE TERRACE, INC.",20910,2022,189904,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,HOUSING AUTHORITY OF BALTIMORE CITY,HOUSING AUTHORITY OF BALTIMORE CITY,21202,2022,81472,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,CITY OF GREENBELT,CITY OF GREENBELT,20770,2022,136145,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/CONGREGATE HOUSING PROVIDER,HOUSING AUTHORITY ALLEGANY - WILLOW VALLEY,HOUSING AUTHORITY ALLEGANY - WILLOW VALLEY,21502,2022,247768,CONGREGATE HOUSING PROVIDER,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,"HUMAN  RESOURCES 
DEVELOPMENT COMMISSION OF ALLEGANY COUNTY",HUMAN RESOURCES DEVELOPMENT COMMISSION OF ALLEGANY COUNTY,21502,2022,175000,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,KESWICK,KESWICK,21211,2022,175000,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,"MAC, INC. (WICOMICO COUNTY)","MAC, INC. (WICOMICO COUNTY)",21804,2022,72000,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,"MAC, INC. (WORCHESTER COUNTY)","MAC, INC. (WORCHESTER COUNTY)",21804,2022,72000,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,"PARTNERS IN CARE MARYLAND, INC.","PARTNERS IN CARE, INC.",21122,2022,116640,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF AGING/COMMUNITY FOR LIFE,"BROADMEAD, INC.","BROADMEAD, INC.",21030,2022,72000,COMMUNITY FOR LIFE,GRANT,1,06/30/2022 12:00:00 AM
MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM),MARYLAND SOCCER FOUNDATION,MARYLAND SOCCER FOUNDATION,20841,2022,50000,FUNDS FOR THE MLS NEXT SOCCER QUALIFIER,GRANT,1,06/30/2022 12:00:00 AM
MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM),RRFT ENTERPRISES,RRFT ENTERPRISES,21811,2022,110742,"FUNDS FOR THE FOLLOWING EVENTS: AAU GRAND PRIX, BEACH BUM BASH, BEACHFEST, BEACH TOURNAMENTS1-3, EASTERN SHORE SHOWDOWN",GRANT,1,06/30/2022 12:00:00 AM
MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM),NEXT LEVEL SPORTS AND ENTERTAINMENT,NEXT LEVEL SPORTS AND ENTERTAINMENT,21076,2022,75000,FUNDS FOR THE NEXT COLLEGIATE LEAGUE CROWN CLASSIC,GRANT,1,06/30/2022 12:00:00 AM
MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM),ELITE TOURNAMENTS,ELITE TOURNAMENTS,21794,2022,65500,FUNDS FOR THE IWLCA CHAMPIOSHIP CUP,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"ANACOSTIA TRAILS HERITAGE AREA, INC.","ANACOSTIA TRAILS HERITAGE AREA, INC.",20781,2022,170000,"HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.  FY22 MARKETING GRANT. FY22 MHAA PROJECT GRANT: FOR THE BOUNDARY FEASIBILITY STUDY.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"ANNAPOLIS MARITIME MUSEUM, INC.","ANNAPOLIS MARITIME MUSEUM, INC.",21403,2022,84920.5,HERITAGE AREAS AUTHORITY FY21 PROJECT GRANT: RESTORATION OF SKIPJACK WILMA LEE  FY22 MHAA PROJECT GRANTS: 1) LIGHTING THE PARK – A PUBLIC SAFETY AND ACCESSIBILITY PROJECT AND 2) OUTDOOR EXHIBITS: AN EXTENSION OF “OUR CHANGING WATERFRONT”,GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"ANNAPOLIS, LONDON TOWN, AND SOUTH COUNTY HERITAGE AREA, INC.","ANNAPOLIS, LONDON TOWN & SOUTH COUNTY HERITAGE AREA, INC.",21401,2022,125000,"HERITAGE AREAS AUTHORITY FY 2019 AND FY2022 MHAA - OPERATING ASSISTANCE GRANTS- TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY 2022 BLOCK GRANT:TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS. FY21 & FY22 MARKETING GRANT.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"BALTIMORE HERITAGE AREA ASSOCIATION, INC.","BALTIMORE HERITAGE AREA ASSOCIATION, INC.",21223,2022,125000,"HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.  FY22 MHAA BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.",GRANT,1,06/30/2022 12:00:00 AM
DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH,"BEACH TO BAY HERITAGE AREA, INC.","BEACH TO BAY HERITAGE AREA, INC.",21811,2022,105164,"HERITAGE AREAS AUTHORITY FY20, FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 MHAA PROJECT GRANT: ALL HALLOWS EPISCOPAL CHURCH HISTORIC STRUCTURE REPORT.",GRANT,1,06/30/2022 12:00:00 AM
